figure_id,panel,source_file,columns_or_keys,transformations,assumptions,evidence_class,generation_status,output_files,notes
Fig04,reference field,results/dense_reconstruction_payloads.npz,q_reference,Field panels use paired 2D arrays; reference and reconstruction share identical color scales.,Hydraulic quantities are simulator-assisted hidden states unless real dense hydraulic arrays are explicitly provided.,simulator_assisted_hidden_state,generated,figures/main/fig04_flow_reference_reconstruction_error.svg; figures/main/fig04_flow_reference_reconstruction_error.pdf; figures/main/fig04_flow_reference_reconstruction_error.png,
Fig04,reconstructed field,results/dense_reconstruction_payloads.npz,q_prediction,Field panels use paired 2D arrays; reference and reconstruction share identical color scales.,Hydraulic quantities are simulator-assisted hidden states unless real dense hydraulic arrays are explicitly provided.,simulator_assisted_hidden_state,generated,figures/main/fig04_flow_reference_reconstruction_error.svg; figures/main/fig04_flow_reference_reconstruction_error.pdf; figures/main/fig04_flow_reference_reconstruction_error.png,
Fig04,absolute-error field,results/dense_reconstruction_payloads.npz,E=abs(q_reference-q_prediction),Field panels use paired 2D arrays; reference and reconstruction share identical color scales.,Hydraulic quantities are simulator-assisted hidden states unless real dense hydraulic arrays are explicitly provided.,simulator_assisted_hidden_state,generated,figures/main/fig04_flow_reference_reconstruction_error.svg; figures/main/fig04_flow_reference_reconstruction_error.pdf; figures/main/fig04_flow_reference_reconstruction_error.png,
Fig05,network topology and sensors,results/sensor_layout_definitions_table.csv,"layout, representative_nodes",Node indices converted to distance using 20 km / max_node.,Twenty-kilometre pipe length follows the study network definition; hidden hydraulic labels are simulator-assisted.,calibrated_simulator + simulator_assisted_hidden_state,generated,figures/main/fig05_physical_20km_network_schematic.svg; figures/main/fig05_physical_20km_network_schematic.pdf; figures/main/fig05_physical_20km_network_schematic.png,
Fig06,workflow,results/data_availability_report.csv; results/calibration_metrics.csv,"dataset_name, available; calibration metrics",Conceptual workflow drawn from repository data/status artifacts only.,"Boxes separate measured-node evidence, calibrated simulator outputs, and simulator-assisted hidden states.",real_measured_node + calibrated_simulator + simulator_assisted_hidden_state,generated,figures/main/fig06_real_data_assisted_dt_framework.svg; figures/main/fig06_real_data_assisted_dt_framework.pdf; figures/main/fig06_real_data_assisted_dt_framework.png,
Fig07,delivered heat tracking,results/energy_balance_time_series.csv,"measured_boundary_heat_load_kw, simulator_delivered_heat_kw, pignn_v3_delivered_heat_kw",Direct plotting and cumulative sums only; no smoothing.,Heat-loss labels are calibrated-simulator quantities.,real_measured_node + calibrated_simulator,generated,figures/main/fig07_heat_loss_delivered_heat_energy_balance.svg; figures/main/fig07_heat_loss_delivered_heat_energy_balance.pdf; figures/main/fig07_heat_loss_delivered_heat_energy_balance.png,
Fig07,segment heat loss,results/heat_loss_profile_metrics.csv,"segment_midpoint_km, simulator_heat_loss_kW, pignn_v3_heat_loss_kW",Direct plotting and cumulative sums only; no smoothing.,Heat-loss labels are calibrated-simulator quantities.,calibrated_simulator,generated,figures/main/fig07_heat_loss_delivered_heat_energy_balance.svg; figures/main/fig07_heat_loss_delivered_heat_energy_balance.pdf; figures/main/fig07_heat_loss_delivered_heat_energy_balance.png,
Fig07,cumulative heat loss,results/heat_loss_profile_metrics.csv,cumulative sum of simulator_heat_loss_kW and pignn_v3_heat_loss_kW,Direct plotting and cumulative sums only; no smoothing.,Heat-loss labels are calibrated-simulator quantities.,calibrated_simulator,generated,figures/main/fig07_heat_loss_delivered_heat_energy_balance.svg; figures/main/fig07_heat_loss_delivered_heat_energy_balance.pdf; figures/main/fig07_heat_loss_delivered_heat_energy_balance.png,
Fig07,energy residual,results/operational_energy_impact_timeseries.csv,energy_balance_residual_percent or pignn_v3_energy_residual_kw / measured load,Direct plotting and cumulative sums only; no smoothing.,Heat-loss labels are calibrated-simulator quantities.,calibrated_simulator,generated,figures/main/fig07_heat_loss_delivered_heat_energy_balance.svg; figures/main/fig07_heat_loss_delivered_heat_energy_balance.pdf; figures/main/fig07_heat_loss_delivered_heat_energy_balance.png,
Fig08,rank heatmap,results/concept_model_value_rank_matrix.csv,"metric, model, rank",Pivoted rank matrix; no rescaling of rank values.,Lower rank is better; values come from project rank matrix.,calibrated_simulator + real_measured_node,generated,figures/main/fig08_model_ranking_heatmap_accuracy_physics_tradeoff.svg; figures/main/fig08_model_ranking_heatmap_accuracy_physics_tradeoff.pdf; figures/main/fig08_model_ranking_heatmap_accuracy_physics_tradeoff.png,
Fig08,accuracy-physics scatter,results/baseline_comparison_final.csv,"RMSE_Ts_full, RMSE_Tr_full, heat_loss_error_percent, energy_balance_residual, boundary_residual_mean, thermal_residual_mean","Thermal RMSE=sum(Ts,Tr); physics score=mean min-max-normalized absolute consistency metrics; duplicate v3 modes collapsed to the lowest physics-score row for readability.",Score is for visualization only and does not replace raw table values.,calibrated_simulator + simulator_assisted_hidden_state,generated,figures/main/fig08_model_ranking_heatmap_accuracy_physics_tradeoff.svg; figures/main/fig08_model_ranking_heatmap_accuracy_physics_tradeoff.pdf; figures/main/fig08_model_ranking_heatmap_accuracy_physics_tradeoff.png,
Fig09,Flensburg supply transfer,results/external_validation_flensburg_timeseries.csv,"measured_or_boundary_supply_C, predicted_supply_C, simulator_hidden_supply_C",Direct window-wise plot; residuals are not smoothed.,Return temperature may be assumed when unavailable per source notes.,real_measured_node + calibrated_simulator,generated,figures/main/fig09_external_validation_domain_shift.svg; figures/main/fig09_external_validation_domain_shift.pdf; figures/main/fig09_external_validation_domain_shift.png,
Fig09,Flensburg transfer modes,results/external_validation_flensburg_modes_final.csv,"mode, RMSE_supply_measured_C, RMSE_return_measured_C",Bar plot of reported transfer-mode metrics.,Mode labels are shortened for display only.,real_measured_node,generated,figures/main/fig09_external_validation_domain_shift.svg; figures/main/fig09_external_validation_domain_shift.pdf; figures/main/fig09_external_validation_domain_shift.png,
Fig09,Flensburg domain-shift indicators,results/flensburg_domain_shift_analysis.csv,"metric, value",Numeric shift indicators plotted where parseable.,Mixed-unit diagnostic panel; detailed units remain in CSV/table.,real_measured_node,generated,figures/main/fig09_external_validation_domain_shift.svg; figures/main/fig09_external_validation_domain_shift.pdf; figures/main/fig09_external_validation_domain_shift.png,
Fig09,XAI4HEAT measured-node validation,results/xai4heat_sparse_substation_validation_final.csv,"variable_label, mean_nRMSE_percent",Measured-node validation metrics plotted directly; normalized RMSE is preferred when available to avoid mixing native units.,XAI4HEAT pressure/head and flow are not measured; no hidden hydraulic validation is implied.,real_measured_node,generated,figures/main/fig09_external_validation_domain_shift.svg; figures/main/fig09_external_validation_domain_shift.pdf; figures/main/fig09_external_validation_domain_shift.png,
Fig10,uncertainty coverage,results/uncertainty_quantification_metrics.csv,"quantity, interval, mean_interval_width, coverage",Scatter plot of saved interval coverage metrics.,Intervals are confidence bands from saved uncertainty artifacts.,real_measured_node + simulator_assisted_hidden_state,generated,figures/main/fig10_robustness_uncertainty_anomaly_evidence.svg; figures/main/fig10_robustness_uncertainty_anomaly_evidence.pdf; figures/main/fig10_robustness_uncertainty_anomaly_evidence.png,
Fig10,robustness comparison,results/thermo_hydraulic_robustness.csv,"model, RMSE_Ts_supply_C, heat_loss_error_percent, energy_balance_residual",Mean over saved robustness conditions by model.,Hydraulic effects are simulator-assisted where pressure/head/flow appear.,real_measured_node + simulator_assisted_hidden_state,generated,figures/main/fig10_robustness_uncertainty_anomaly_evidence.svg; figures/main/fig10_robustness_uncertainty_anomaly_evidence.pdf; figures/main/fig10_robustness_uncertainty_anomaly_evidence.png,
Fig10,anomaly summary,results/anomaly_detection_metrics_improved.csv,"case, detection_rate_percent, false_alarm_rate_percent",Direct bar/scatter plot of controlled-perturbation metrics.,"Anomaly cases are controlled perturbations, not observed field fault labels.",controlled_perturbation_of_real_profile,generated,figures/main/fig10_robustness_uncertainty_anomaly_evidence.svg; figures/main/fig10_robustness_uncertainty_anomaly_evidence.pdf; figures/main/fig10_robustness_uncertainty_anomaly_evidence.png,
Fig10,anomaly residual trace,results/anomaly_detection_timeseries_improved.csv,"case, residual_score, warning_threshold, alarm_threshold",First non-normal case residual trace plotted without smoothing.,Thresholds are from saved anomaly artifact.,controlled_perturbation_of_real_profile,generated,figures/main/fig10_robustness_uncertainty_anomaly_evidence.svg; figures/main/fig10_robustness_uncertainty_anomaly_evidence.pdf; figures/main/fig10_robustness_uncertainty_anomaly_evidence.png,
